item,category
"BIO FR.MILCH 3,8",Dairy
SOJAGHURT NATUR,Yoghurt-Meal
HUEHNERNUDELTOPF,Ready Meals
ZIMT GEMAHLEN,Yoghurt-Meal
TOMATENKETCHUP,Processed Meal Part
TORTELLINI KAESE,Processed Meal Part
BIO TOMATENS.KRA,Processed Meal Part
STUECKIGE TOMATE,Vegetables
CHIPSFRISCH,Snacks
ORIENTAL,Snacks
"Funny Frisch 0,99",Discount
HAFERFLOCK. ZART,Cereal
SPAETZLETOPF,Ready Meals
KOKOS,Candy
COCA COLA,Cola
"PFAND 0,25 EURO",Pawn
MARZIPAN,Candy
ITAL. GEMUESEPF,Ready Meals
KARAMEL SUTRA,Candy
TORTELLINI BUNT,Ready Meals
CARAMEL BROWNIE,Candy
ZARTBITTERSCHOKO,Candy
SCHO.BLACK/WHITE,Candy
SCHOGETT.VM.NUSS,Candy
"Ben+Jerrys 3,99",Discount
REWE WOKMISCHUNG,Vegetables
ROTE LINSEN,Lentils
REWE Bio -5%,Discount
EIER FH RES S-L,Animal
KOKOSMILCH,Processed Meal Part
STRACCIATELLA,Candy
GERAMONT CLASSIC,Dairy
SULTANINEN,Yoghurt-Meal
KAKAO,Yoghurt-Meal
LINSEN CHIPS,Snacks
LUNGO ENTKOFF.,Coffee
MIREE KRAEUTER,Dairy
RUSTIKAL KNAECKE,Cereal
SOFT TRIP CHOC,Candy
MAULTASCHEN.,Processed Meal Part
GEMUESEPF. FRZ.,Processed Meal Part
HERINGSFILETS,Ready Meals
"Heringsfilet 1,29",Discount
FLEISCHWU.ND,Animal
WELTMEISTERBROT,Cereal
PAPRIKA MIX ESP,Vegetables
KOELLN BIO HAFER,Breakfast
SCHOKOL. VOLLMIL,Candy
DUPLO COCOS,Candy
HAEHN.GESCHNETZE,Ready Meals
NATUR,Snacks
ROMARISPENTOMATE,Vegetables
GURKE BW,Vegetables
HIMBEERESSIG,Processed Meal Part
OLIV.GRUEN O.ST.,Vegetables
TOFFIFEE 15ER,Candy
RBW  -5%,Discount
BOWL ZUCCHINI,Ready Meals
PIZZA VEGETALE,Ready Meals
ROSENKOHL,Vegetables
VEG.BURG.PATT.,Processed Meal Part
GEMUESEPFANNE AN,Ready Meals
HARMONIE PADS,Coffee
MILCHREIS,Breakfast
GOLDMAIS,Vegetables
KIDNEY BOHNEN,Lentils
